edge_id,idx,loss05,iou05,loss10,iou10,sum
0.0,4010.0,0.2464711666107177,0.6049889326095581,0.2449528574943542,0.6069530248641968,375
0.0,4022.0,0.2914083003997803,0.5488739609718323,0.3200781345367431,0.5152587890625,1018
0.0,4027.0,0.6790199279785156,0.1917859017848968,0.6596583127975464,0.2057976573705673,467
0.0,4028.0,0.321898877620697,0.5131136178970337,0.3514730334281921,0.4800056219100952,992
0.0,4033.0,0.6370137929916382,0.2220016121864318,0.5901358127593994,0.2580671906471252,954
0.0,4043.0,0.4973425269126892,0.3361541926860809,0.5420849323272705,0.2974846065044403,601
0.0,4044.0,0.3392385840415954,0.4937342405319214,0.4004806876182556,0.4285823404788971,464
0.0,4046.0,0.4056742787361145,0.4230896830558777,0.3881165981292724,0.441118985414505,750
0.0,4047.0,0.348391056060791,0.4834966361522674,0.5092954039573669,0.3255545198917389,726
0.0,4050.0,0.4217953681945801,0.4069100022315979,0.3286852240562439,0.505484402179718,730
0.0,4051.0,0.1916478872299194,0.6785350441932678,0.1811181902885437,0.6934967041015625,681
0.0,4054.0,0.3660398125648498,0.4642920196056366,0.3312078714370727,0.5025994777679443,1023
0.0,4057.0,0.5536211729049683,0.2876385450363159,0.4063929319381714,0.4223863184452057,839
0.0,4058.0,0.2914367318153381,0.5491451621055603,0.1493923664093017,0.7404102683067322,329
0.0,4059.0,0.3624336123466491,0.468204140663147,0.2731561660766601,0.5711062550544739,807
0.0,4061.0,0.4997873902320862,0.3338501453399658,0.6713664531707764,0.1970395445823669,998
0.0,4062.0,0.7819747924804688,0.122743159532547,0.7519205212593079,0.1422712951898574,475
0.0,4063.0,0.4560770988464355,0.3749606609344482,0.3236218094825744,0.5121297240257263,167
0.0,4064.0,0.4445515871047973,0.3847799301147461,0.4357349872589111,0.3932788372039795,932
0.0,4072.0,0.4866735339164734,0.3457401692867279,0.4740535020828247,0.3573483824729919,380
0.0,4075.0,0.5639312267303467,0.2802419364452362,0.5863215923309326,0.2623312771320343,249
0.0,4076.0,0.1835066676139831,0.6900479793548584,0.1555171012878418,0.7309669256210327,825
0.0,4077.0,0.2867886424064636,0.5545226335525513,0.302043080329895,0.5363402366638184,698
0.0,4078.0,0.2487596273422241,0.6019241809844971,0.254779577255249,0.5942614078521729,519
0.0,4099.0,0.5102076530456543,0.3260284960269928,0.5999960899353027,0.2520355582237243,187
0.0,4114.0,0.1845564246177673,0.6885346174240112,0.1643574833869934,0.7178192138671875,853
0.0,4126.0,0.2051894068717956,0.659613847732544,0.2028339505195617,0.6628697514533997,1033
0.0,4127.0,0.188847005367279,0.6826722621917725,0.2346451878547668,0.6203204393386841,388
0.0,4135.0,0.1455422639846801,0.746580183506012,0.1612218022346496,0.7230613827705383,157
0.0,4136.0,0.2383072972297668,0.6157609224319458,0.2720608115196228,0.5730744004249573,212
0.0,4147.0,0.1866124272346496,0.6865808367729187,0.0953437685966491,0.8266127109527588,111
0.0,4150.0,0.2781453728675842,0.5650080442428589,0.2511114478111267,0.5988190174102783,762
0.0,4151.0,0.5090888142585754,0.3256603181362152,0.3830221891403198,0.446633368730545,367
0.0,4154.0,0.3385314345359802,0.4944321811199188,0.2689293622970581,0.5763909220695496,657
0.0,4155.0,0.647452712059021,0.2144750654697418,0.7914678454399109,0.116885669529438,473
0.0,4156.0,0.4651733636856079,0.3683259189128876,0.5151106119155884,0.3229637145996094,48
0.0,4157.0,0.4691770076751709,0.361615240573883,0.4426506757736206,0.3866459727287292,676
0.0,4158.0,0.243415892124176,0.6086298227310181,0.2695684432983398,0.5755048990249634,1038
0.0,4165.0,0.6596696376800537,0.2054409384727478,0.6489476561546326,0.2132879197597503,782
0.0,4166.0,0.1642683148384094,0.7181366682052612,0.1409082412719726,0.753282368183136,372
0.0,4202.0,0.4237152934074402,0.4051679074764251,0.4307361245155334,0.3982782065868377,448
0.0,4256.0,0.4590232372283935,0.3715676963329315,0.4227830171585083,0.4071278572082519,163
0.0,4257.0,0.2140220403671264,0.6475818753242493,0.2035853862762451,0.6618663668632507,838
0.0,4260.0,0.7107144594192505,0.1698514372110366,0.4292693734169006,0.4000445008277893,264
0.0,4262.0,1.0,0.0012320120586082,1.0,0.0023640661966055,210
0.0,4263.0,0.2247290015220642,0.6332236528396606,0.2958049774169922,0.5436756014823914,575
0.0,4264.0,0.2601050138473511,0.5876153707504272,0.243035614490509,0.6094372272491455,295
0.0,4265.0,0.3619362115859985,0.469040036201477,0.4331218004226684,0.3962219357490539,250
0.0,4266.0,0.2709083557128906,0.5738298892974854,0.2137369513511657,0.6479485034942627,858
0.0,4269.0,0.1375176310539245,0.7584002614021301,0.1189222931861877,0.7876039147377014,572
0.0,4271.0,0.2409643530845642,0.6119970679283142,0.2663744688034057,0.5797008275985718,415
0.0,4272.0,0.1429149508476257,0.7500434517860413,0.1369897127151489,0.7591607570648193,817
0.0,4274.0,0.3603704571723938,0.4706199765205383,0.2427293062210083,0.6097940802574158,370
0.0,4275.0,0.3127947449684143,0.5236324071884155,0.269091248512268,0.5760939121246338,843
0.0,4276.0,0.272605836391449,0.5717623233795166,0.1776435375213623,0.6984574198722839,892
0.0,4277.0,0.2162040472030639,0.6446297764778137,0.2484736442565918,0.6021651029586792,815
0.0,4280.0,0.3094450831413269,0.5275415778160095,0.3178120255470276,0.5178478956222534,833
0.0,4281.0,0.3058169484138489,0.5340132713317871,0.1654552817344665,0.7180278301239014,57
0.0,4285.0,0.3091300129890442,0.5279944539070129,0.23605877161026,0.6182910799980164,569
0.0,4286.0,0.144053041934967,0.7483531832695007,0.1421393752098083,0.751280665397644,590
0.0,4289.0,0.1834677457809448,0.6901175379753113,0.1386709213256836,0.7565794587135315,714
0.0,4290.0,0.5731269121170044,0.2715677320957184,0.5526686906814575,0.2883266806602478,602
0.0,4291.0,0.4964614510536194,0.3375039994716644,0.4989292621612549,0.3353004157543182,117
0.0,4292.0,0.2104266285896301,0.6524858474731445,0.1994059085845947,0.6676602959632874,849
0.0,4293.0,0.2425382733345031,0.6097482442855835,0.2080101370811462,0.655746579170227,1008
0.0,4294.0,0.1575986742973327,0.7289707660675049,0.1444141864776611,0.7488151788711548,82
0.0,4296.0,0.463379442691803,0.3670103549957275,0.4546679854393005,0.3752022981643677,946
0.0,4298.0,0.5578046441078186,0.2843562662601471,0.4840533137321472,0.3480913639068603,717
